Metagene,Cell type
POLR2D,DNA repair
FANCD2,DNA repair
CETN2,DNA repair
POLR2K,DNA repair
SSRP1,DNA repair
ATM,DNA repair
XRCC4,DNA repair
CCNO,DNA repair
XPC,DNA repair
FANCC,DNA repair
ERCC3,DNA repair
POLR2H,DNA repair
RFC4,DNA repair
HMGB2,DNA repair
WRN,DNA repair
POLL,DNA repair
ALKBH3,DNA repair
DDB1,DNA repair
POLR2G,DNA repair
FEN1,DNA repair
UBE2V2,DNA repair
MGMT,DNA repair
POLH,DNA repair
EXO1,DNA repair
LIG4,DNA repair
ATR,DNA repair
POLD4,DNA repair
ERCC4,DNA repair
POLE,DNA repair
TOP3A,DNA repair
UBE2N,DNA repair
FANCB,DNA repair
RAD51B,DNA repair
FANCF,DNA repair
RAD51D,DNA repair
FANCA,DNA repair
FANCM,DNA repair
H2AFX,DNA repair
ALKBH2,DNA repair
HMGB1,DNA repair
XRCC6,DNA repair
XRCC2,DNA repair
BLM,DNA repair
GTF2H4,DNA repair
FANCG,DNA repair
UBA52,DNA repair
PRKDC,DNA repair
GTF2H5,DNA repair
ANLN,Cell cycle
ANP32E,Cell cycle
ATAD2,Cell cycle
AURKA,Cell cycle
BRIP1,Cell cycle
CASP8AP2,Cell cycle
CBX5,Cell cycle
CCNA2,Cell cycle
CCNB2,Cell cycle
CCND1,Cell cycle
CCNE1,Cell cycle
CCNE2,Cell cycle
CDC25C,Cell cycle
CDC45,Cell cycle
CDC6,Cell cycle
CDCA2,Cell cycle
CDCA3,Cell cycle
CDCA8,Cell cycle
CENPA,Cell cycle
CENPE,Cell cycle
CHAF1B,Cell cycle
CKAP2L,Cell cycle
CKAP5,Cell cycle
CKS1B,Cell cycle
CKS2,Cell cycle
CLSPN,Cell cycle
DHFR,Cell cycle
DLGAP5,Cell cycle
DSCC1,Cell cycle
DTL,Cell cycle
ECT2,Cell cycle
EXO1,Cell cycle
FEN1,Cell cycle
GAS2L3,Cell cycle
GINS2,Cell cycle
GTSE1,Cell cycle
HELLS,Cell cycle
HJURP,Cell cycle
HMMR,Cell cycle
KIF11,Cell cycle
KIF23,Cell cycle
KIF2C,Cell cycle
LBR,Cell cycle
MCM4,Cell cycle
MCM5,Cell cycle
MCM6,Cell cycle
MKI67,Cell cycle
NASP,Cell cycle
NCAPD2,Cell cycle
NDC80,Cell cycle
NEK2,Cell cycle
NUF2,Cell cycle
NUSAP1,Cell cycle
PCNA,Cell cycle
POLA1,Cell cycle
POLD3,Cell cycle
PRIM1,Cell cycle
PSRC1,Cell cycle
PTTG1,Cell cycle
RAD21,Cell cycle
RAD51AP1,Cell cycle
RANGAP1,Cell cycle
RFC2,Cell cycle
RFC4,Cell cycle
RPA2,Cell cycle
RRM1,Cell cycle
RRM2,Cell cycle
SLBP,Cell cycle
SMC4,Cell cycle
TACC3,Cell cycle
TIPIN,Cell cycle
TMPO,Cell cycle
TOP2A,Cell cycle
TTK,Cell cycle
TUBB4B,Cell cycle
TYMS,Cell cycle
UBR7,Cell cycle
UHRF1,Cell cycle
UNG,Cell cycle
USP1,Cell cycle
WDR76,Cell cycle
POLA2,Cell cycle
GCLM,Cell cycle
HMGB3,Cell cycle
DEPDC1B,Cell cycle
PRR11,Cell cycle
NUCKS1,Cell cycle
NUP37,Cell cycle
UBE2T,Cell cycle
ORC6,Cell cycle
CENPM,Cell cycle
VRK1,Cell cycle
CDC25B,Cell cycle
FAM83D,Cell cycle
ASF1B,Cell cycle
GRPEL1,Cell cycle
RFC5,Cell cycle
SRSF3,Cell cycle
MND1,Cell cycle
ZWINT,Cell cycle
TUBG1,Cell cycle
ENOSF1,Cell cycle
RAN,Cell cycle
RFC3,Cell cycle
E2F5,Cell cycle
AKIRIN2,Cell cycle
TROAP,Cell cycle
BORA,Cell cycle
PIF1,Cell cycle
FANCI,Cell cycle
LYAR,Cell cycle
CDCA5,Cell cycle
DSN1,Cell cycle
CCNF,Cell cycle
CDC25A,Cell cycle
SAP30,Cell cycle
CDCA7L,Cell cycle
INTS8,Cell cycle
MCM7,Cell cycle
CHAF1A,Cell cycle
PBK,Cell cycle
DTYMK,Cell cycle
APEX2,Cell cycle
KIF5B,Cell cycle
SHCBP1,Cell cycle
ZWILCH,Cell cycle
KPNA2,Cell cycle
H2AFX,Cell cycle
H1F0,Cell cycle
TUBB,Cell cycle
HIST1H4C,Cell cycle
PRC1,Cell cycle
CENPW,Cell cycle
MRPS18B,Cell cycle
MZT1,Cell cycle
KIFC1,Cell cycle
KIF22,Cell cycle
ACVRL1,Angiogenesis
JAG1,Angiogenesis
ANGPT1,Angiogenesis
ANGPT2,Angiogenesis
CD34,Angiogenesis
CDC42,Angiogenesis
MAPK14,Angiogenesis
TYMP,Angiogenesis
EDN1,Angiogenesis
EFNB2,Angiogenesis
EGR3,Angiogenesis
EPHB4,Angiogenesis
PTK2B,Angiogenesis
FGF2,Angiogenesis
FGFR1,Angiogenesis
VEGFD,Angiogenesis
FOXC2,Angiogenesis
FLT1,Angiogenesis
FLT4,Angiogenesis
FN1,Angiogenesis
GPLD1,Angiogenesis
NR4A1,Angiogenesis
ID1,Angiogenesis
ITGA5,Angiogenesis
ITGAV,Angiogenesis
ITGB1,Angiogenesis
KDR,Angiogenesis
LOXL2,Angiogenesis
MMP14,Angiogenesis
NOTCH1,Angiogenesis
PDGFA,Angiogenesis
PDGFRB,Angiogenesis
PGF,Angiogenesis
PIK3CA,Angiogenesis
PTGS2,Angiogenesis
PTK2,Angiogenesis
ROBO1,Angiogenesis
SHC1,Angiogenesis
SRF,Angiogenesis
TAL1,Angiogenesis
TDGF1,Angiogenesis
TEK,Angiogenesis
VAV2,Angiogenesis
VEGFA,Angiogenesis
VEGFC,Angiogenesis
FGF18,Angiogenesis
NRP1,Angiogenesis
SEMA5A,Angiogenesis
RAMP2,Angiogenesis
CIB1,Angiogenesis
ESM1,Angiogenesis
JMJD6,Angiogenesis
HEY1,Angiogenesis
ADGRA2,Angiogenesis
GREM1,Angiogenesis
SRPX2,Angiogenesis
SOX18,Angiogenesis
PARVA,Angiogenesis
RNF213,Angiogenesis
E2F8,Angiogenesis
RSPO3,Angiogenesis
OTULIN,Angiogenesis
E2F7,Angiogenesis
CCBE1,Angiogenesis
BMPER,Angiogenesis
NRARP,Angiogenesis
TNFAIP6,Angiogenesis
VCAN,Angiogenesis
SPP1,Angiogenesis
CCND2,Angiogenesis
PIK3R1,Angiogenesis
STC1,Angiogenesis
JAG2,Angiogenesis
NDUFAB1,Amino acid
SLC25A13,Amino acid
PSMB1,Amino acid
AASS,Amino acid
RPS20,Amino acid
IYD,Amino acid
SLC6A7,Amino acid
PSMC4,Amino acid
CHDH,Amino acid
CPS1,Amino acid
SARS1,Amino acid
OTC,Amino acid
RPL26L1,Amino acid
MRI1,Amino acid
PSMA4,Amino acid
ALDH18A1,Amino acid
BCAT1,Amino acid
RPL18,Amino acid
OAT,Amino acid
KARS1,Amino acid
PSME4,Amino acid
SLC44A1,Amino acid
ASNS,Amino acid
RPL31,Amino acid
HSD17B10,Amino acid
ACAT1,Amino acid
TYR,Amino acid
NAALAD2,Amino acid
MCCC1,Amino acid
DCT,Amino acid
ARG2,Amino acid
BCKDHB,Amino acid
RPS5,Amino acid
HAL,Amino acid
FOLH1,Amino acid
PSMC5,Amino acid
SMOX,Amino acid
RPL6,Amino acid
RPLP0,Amino acid
DLD,Amino acid
PSME1,Amino acid
PHGDH,Amino acid
PSMD5,Amino acid
PSMD8,Amino acid
MTAP,Amino acid
PRODH,Amino acid
GCAT,Amino acid
RPL3,Amino acid
TXN2,Amino acid
PSMC6,Amino acid
PSMA3,Amino acid
GSTZ1,Amino acid
PSMC1,Amino acid
PSMB5,Amino acid
PSMA6,Amino acid
PSME2,Amino acid
PSMA7,Amino acid
HAO1,Amino acid
AHCY,Amino acid
PSMD10,Amino acid
SMS,Amino acid
SLC25A15,Amino acid
PSMD7,Amino acid
SLC7A5,Amino acid
CRYM,Amino acid
BCKDK,Amino acid
FAH,Amino acid
OCA2,Amino acid
PYCR3,Amino acid
GSR,Amino acid
CKM,Amino acid
OAZ1,Amino acid
IL4I1,Amino acid
RPS16,Amino acid
RPS19,Amino acid
BCAT2,Amino acid
GCDH,Amino acid
RPL18A,Amino acid
SLC5A5,Amino acid
ETHE1,Amino acid
OGDH,Amino acid
HIBADH,Amino acid
AIMP2,Amino acid
PSMA2,Amino acid
TYRP1,Amino acid
RPL28,Amino acid
RPL19,Amino acid
PSMD3,Amino acid
ASPA,Amino acid
PSMD11,Amino acid
RPL34,Amino acid
AADAT,Amino acid
SEPSECS,Amino acid
PDHX,Amino acid
RPS13,Amino acid
PSMD9,Amino acid
DAO,Amino acid
SLC6A12,Amino acid
SERINC1,Amino acid
RPS12,Amino acid
AGXT2,Amino acid
RARS1,Amino acid
HGD,Amino acid
RPL24,Amino acid
PSMD14,Amino acid
RPS15,Amino acid
GLS,Amino acid
TPO,Amino acid
ODC1,Amino acid
SLC25A12,Amino acid
DARS1,Amino acid
KYNU,Amino acid
RPL22,Amino acid
SRM,Amino acid
CTH,Amino acid
AGMAT,Amino acid
MTR,Amino acid
KMO,Amino acid
RPS25,Amino acid
ARG1,Amino acid
DLST,Amino acid
ALDH6A1,Amino acid
GOT1,Amino acid
SLC25A2,Amino acid
LIAS,Amino acid
RPL21,Amino acid
RPL5,Amino acid
SARDH,Amino acid
DBH,Amino acid
AMD1,Amino acid
MTRR,Amino acid
RPS10,Amino acid
GNMT,Amino acid
EEF1E1,Amino acid
GOT2,Amino acid
RPL23,Amino acid
PSMF1,Amino acid
PSMB2,Amino acid
ASL,Amino acid
ECHS1,Amino acid
SEM1,Amino acid
MPST,Amino acid
TST,Amino acid
IVD,Amino acid
PSMA1,Amino acid
BBOX1,Amino acid
TPH1,Amino acid
CDO1,Amino acid
AANAT,Amino acid
RPS4Y1,Amino acid
GAMT,Amino acid
SAT1,Amino acid
RPL36,Amino acid
ASS1,Amino acid
SLC6A8,Amino acid
IDO1,Amino acid
PSME3,Amino acid
RPL27,Amino acid
CKMT2,Amino acid
PDHA1,Amino acid
MCCC2,Amino acid
SLC6A11,Amino acid
SCLY,Amino acid
EEFSEC,Amino acid
DDC,Amino acid
RIDA,Amino acid
SERINC3,Amino acid
DMGDH,Amino acid
BHMT2,Amino acid
LARS1,Amino acid
TSHB,Amino acid
RPS15A,Amino acid
PSAT1,Amino acid
SDS,Amino acid
CGA,Amino acid
GLS2,Amino acid
GLUL,Amino acid
EPRS1,Amino acid
PSMB7,Amino acid
RPL35,Amino acid
GRHPR,Amino acid
RPS6,Amino acid
SQOR,Amino acid
RPLP1,Amino acid
DUOX1,Amino acid
KYAT3,Amino acid
DBT,Amino acid
RPS24,Amino acid
PAPSS1,Amino acid
TPH2,Amino acid
AMDHD1,Amino acid
SDSL,Amino acid
SUOX,Amino acid
CSAD,Amino acid
DUOX2,Amino acid
HDC,Amino acid
GCSH,Amino acid
RPL3L,Amino acid
RPS2,Amino acid
PNMT,Amino acid
PSMB6,Amino acid
RPS11,Amino acid
RPL13A,Amino acid
RPL11,Amino acid
AZIN2,Amino acid
RPS8,Amino acid
PSMA5,Amino acid
ALDH9A1,Amino acid
OAZ3,Amino acid
PYCR2,Amino acid
RPS27A,Amino acid
LIPT1,Amino acid
GADL1,Amino acid
RPL32,Amino acid
AMT,Amino acid
ENOPH1,Amino acid
RPS3A,Amino acid
RPL37,Amino acid
BHMT,Amino acid
PSPH,Amino acid
RPL10,Amino acid
RPL7,Amino acid
AUH,Amino acid
RPL7A,Amino acid
GLUD1,Amino acid
PAOX,Amino acid
APIP,Amino acid
RPS3,Amino acid
FAU,Amino acid
HNMT,Amino acid
DLAT,Amino acid
MAT1A,Amino acid
ACAD8,Amino acid
QDPR,Amino acid
TDO2,Amino acid
ACMSD,Amino acid
NMRAL1,Amino acid
PSMA8,Amino acid
AZIN1,Amino acid
CARNMT1,Amino acid
RPL30,Amino acid
HPD,Amino acid
PSMD4,Amino acid
PSMB4,Amino acid
ALDH4A1,Amino acid
UROC1,Amino acid
CBS,Amino acid
FTCD,Amino acid
SLC25A44,Amino acid
RPL8,Amino acid
PSMC2,Amino acid
NAGS,Amino acid
RPL26,Amino acid
ASRGL1,Amino acid
RPL29,Amino acid
HAAO,Amino acid
PDHA2,Amino acid
RPL22L1,Amino acid
PSMD6,Amino acid
PPM1K,Amino acid
RPL9,Amino acid
RPL39L,Amino acid
AIMP1,Amino acid
SLC45A2,Amino acid
SERINC5,Amino acid
RPS14,Amino acid
ALDH7A1,Amino acid
RPL10L,Amino acid
RPL36AL,Amino acid
PSMC3,Amino acid
GPT2,Amino acid
CKB,Amino acid
ASPG,Amino acid
PCBD1,Amino acid
RPL27A,Amino acid
RIMKLB,Amino acid
NNMT,Amino acid
MARS1,Amino acid
RPL13,Amino acid
GPT,Amino acid
SRR,Amino acid
SLC3A2,Amino acid
RPSA,Amino acid
PDHB,Amino acid
SERINC2,Amino acid
RPS9,Amino acid
KYAT1,Amino acid
PAH,Amino acid
GATM,Amino acid
RPS21,Amino acid
RPS7,Amino acid
QARS1,Amino acid
AGXT,Amino acid
CARNS1,Amino acid
RPL38,Amino acid
PSMD1,Amino acid
RPL4,Amino acid
RPL15,Amino acid
PSMD2,Amino acid
PHYKPL,Amino acid
LIPT2,Amino acid
PXMP2,Amino acid
SHMT1,Amino acid
RIMKLA,Amino acid
RPLP2,Amino acid
RPS27,Amino acid
GLDC,Amino acid
PIPOX,Amino acid
SEPHS2,Amino acid
PSTK,Amino acid
TH,Amino acid
OAZ2,Amino acid
SLC36A4,Amino acid
NQO1,Amino acid
DHTKD1,Amino acid
ADO,Amino acid
ADI1,Amino acid
RPS17,Amino acid
GLUD2,Amino acid
RPL35A,Amino acid
PYCR1,Amino acid
SLC25A21,Amino acid
SLC25A10,Amino acid
AFMID,Amino acid
RPS27L,Amino acid
PSMD13,Amino acid
NAT8L,Amino acid
TMLHE,Amino acid
RPS23,Amino acid
SECISBP2,Amino acid
HYKK,Amino acid
IDO2,Amino acid
RPL14,Amino acid
ACADSB,Amino acid
IARS1,Amino acid
ASMT,Amino acid
PSMD12,Amino acid
DIO3,Amino acid
RPS26,Amino acid
RPL37A,Amino acid
RPL12,Amino acid
RPS4X,Amino acid
HIBCH,Amino acid
RPL23A,Amino acid
TXNRD1,Amino acid
TAT,Amino acid
PAPSS2,Amino acid
RPL10A,Amino acid
RPL39,Amino acid
DDO,Amino acid
PSMB8,Amino acid
PSMB10,Amino acid
DIO2,Amino acid
DIO1,Amino acid
RPS29,Amino acid
TSTD1,Amino acid
UBA52,Amino acid
PSMB11,Amino acid
CKMT1A,Amino acid
RPL41,Amino acid
RPS18,Amino acid
RPS28,Amino acid
CKMT1B,Amino acid
PSMB9,Amino acid
RPL36A,Amino acid
INMT,Amino acid
HOGA1,Amino acid
BCKDHA,Amino acid
PRODH2,Amino acid
RPL17,Amino acid
CBSL,Amino acid
PSMB3,Amino acid
RPS4Y2,Amino acid
HS3ST1,Carbohydrate
SLC25A13,Carbohydrate
ST3GAL1,Carbohydrate
IDS,Carbohydrate
DCN,Carbohydrate
MAN2B2,Carbohydrate
MDH1,Carbohydrate
XYLT2,Carbohydrate
DERA,Carbohydrate
CD44,Carbohydrate
B4GALT7,Carbohydrate
NUP160,Carbohydrate
CHPF2,Carbohydrate
VCAN,Carbohydrate
PHKA2,Carbohydrate
TPR,Carbohydrate
HEXB,Carbohydrate
GYG2,Carbohydrate
NDC1,Carbohydrate
GPC1,Carbohydrate
ST3GAL6,Carbohydrate
PFKP,Carbohydrate
PHKA1,Carbohydrate
PKM,Carbohydrate
HYAL2,Carbohydrate
PYGM,Carbohydrate
NUP133,Carbohydrate
NDST1,Carbohydrate
PRKACA,Carbohydrate
HMMR,Carbohydrate
ENO1,Carbohydrate
NUP37,Carbohydrate
GPC4,Carbohydrate
PGM1,Carbohydrate
GCKR,Carbohydrate
SEH1L,Carbohydrate
AKR1B1,Carbohydrate
B4GALT1,Carbohydrate
SLC9A1,Carbohydrate
NUP50,Carbohydrate
XYLB,Carbohydrate
AAAS,Carbohydrate
NUP188,Carbohydrate
SLC25A1,Carbohydrate
PYGL,Carbohydrate
PCK2,Carbohydrate
PYGB,Carbohydrate
RAE1,Carbohydrate
PRPS2,Carbohydrate
PGK1,Carbohydrate
PHKB,Carbohydrate
NUP93,Carbohydrate
HAS3,Carbohydrate
XYLT1,Carbohydrate
CEMIP,Carbohydrate
PPP2CB,Carbohydrate
MAN2B1,Carbohydrate
GYS1,Carbohydrate
GPI,Carbohydrate
HAS1,Carbohydrate
PPP2R1A,Carbohydrate
GAPDHS,Carbohydrate
GCK,Carbohydrate
OGN,Carbohydrate
GALK1,Carbohydrate
ENO3,Carbohydrate
SLC25A11,Carbohydrate
NUP88,Carbohydrate
NAGLU,Carbohydrate
ALDOC,Carbohydrate
MANBA,Carbohydrate
B3GAT1,Carbohydrate
ST3GAL4,Carbohydrate
NUP98,Carbohydrate
NUP107,Carbohydrate
GAPDH,Carbohydrate
TPI1,Carbohydrate
ENO2,Carbohydrate
GYS2,Carbohydrate
DSE,Carbohydrate
UST,Carbohydrate
B3GAT2,Carbohydrate
EPM2A,Carbohydrate
PPP2R5D,Carbohydrate
ARSB,Carbohydrate
GNPDA1,Carbohydrate
NUP155,Carbohydrate
PPP2CA,Carbohydrate
PFKFB4,Carbohydrate
HYAL1,Carbohydrate
GBE1,Carbohydrate
CSPG5,Carbohydrate
ABCC5,Carbohydrate
SLC25A12,Carbohydrate
SDC1,Carbohydrate
GALE,Carbohydrate
SLC2A1,Carbohydrate
B4GALT2,Carbohydrate
AKR1A1,Carbohydrate
B4GALT6,Carbohydrate
PPP1R3C,Carbohydrate
GOT1,Carbohydrate
NUP43,Carbohydrate
B4GALT4,Carbohydrate
FMOD,Carbohydrate
HS3ST2,Carbohydrate
CHST3,Carbohydrate
PFKFB2,Carbohydrate
CHPF,Carbohydrate
SDC4,Carbohydrate
PCK1,Carbohydrate
SLC35B3,Carbohydrate
NUP153,Carbohydrate
GOT2,Carbohydrate
HS3ST3B1,Carbohydrate
NUP85,Carbohydrate
ST3GAL3,Carbohydrate
NUP214,Carbohydrate
OMD,Carbohydrate
IDUA,Carbohydrate
NCAN,Carbohydrate
PGLS,Carbohydrate
FUT5,Carbohydrate
FBP2,Carbohydrate
SLC35D2,Carbohydrate
G6PC1,Carbohydrate
CHSY1,Carbohydrate
NUP210,Carbohydrate
BCAN,Carbohydrate
LYVE1,Carbohydrate
SLC37A2,Carbohydrate
GNS,Carbohydrate
CHST5,Carbohydrate
STAB2,Carbohydrate
CHST12,Carbohydrate
NUP42,Carbohydrate
HS6ST1,Carbohydrate
ALDOB,Carbohydrate
PPP2R1B,Carbohydrate
KHK,Carbohydrate
GLCE,Carbohydrate
NDST4,Carbohydrate
NUP54,Carbohydrate
PAPSS1,Carbohydrate
LUM,Carbohydrate
KERA,Carbohydrate
NUP58,Carbohydrate
SORD,Carbohydrate
MAN2C1,Carbohydrate
GALNS,Carbohydrate
G6PC3,Carbohydrate
PFKL,Carbohydrate
PGD,Carbohydrate
HSPG2,Carbohydrate
PRKACB,Carbohydrate
PKLR,Carbohydrate
RPS27A,Carbohydrate
SLC26A1,Carbohydrate
MDH2,Carbohydrate
CHST7,Carbohydrate
PRPS1,Carbohydrate
GPC3,Carbohydrate
CSGALNACT1,Carbohydrate
TKFC,Carbohydrate
B3GAT3,Carbohydrate
ALDOA,Carbohydrate
UBC,Carbohydrate
EXT2,Carbohydrate
G6PC2,Carbohydrate
PFKM,Carbohydrate
RANBP2,Carbohydrate
RPIA,Carbohydrate
HS2ST1,Carbohydrate
HS3ST3A1,Carbohydrate
CHST9,Carbohydrate
NUP205,Carbohydrate
SLC26A2,Carbohydrate
FUT6,Carbohydrate
HK1,Carbohydrate
PHKG2,Carbohydrate
B3GNT7,Carbohydrate
SEC13,Carbohydrate
ST3GAL2,Carbohydrate
SLC35B2,Carbohydrate
ACAN,Carbohydrate
B4GALT5,Carbohydrate
PFKFB1,Carbohydrate
B4GALT3,Carbohydrate
ADPGK,Carbohydrate
HK2,Carbohydrate
SLC37A1,Carbohydrate
G6PD,Carbohydrate
ST6GALNAC6,Carbohydrate
HK3,Carbohydrate
HS3ST6,Carbohydrate
SDC3,Carbohydrate
B3GALT2,Carbohydrate
AGL,Carbohydrate
NUP35,Carbohydrate
GNPDA2,Carbohydrate
GLB1L,Carbohydrate
GYG1,Carbohydrate
TKT,Carbohydrate
NDST3,Carbohydrate
PHKG1,Carbohydrate
PRKACG,Carbohydrate
ALDH1A1,Carbohydrate
HGSNAT,Carbohydrate
FBP1,Carbohydrate
PGM2L1,Carbohydrate
CRYL1,Carbohydrate
NDST2,Carbohydrate
B4GALNT2,Carbohydrate
LALBA,Carbohydrate
GLYCTK,Carbohydrate
CHST14,Carbohydrate
PGM2,Carbohydrate
SDC2,Carbohydrate
DCXR,Carbohydrate
UGP2,Carbohydrate
CSGALNACT2,Carbohydrate
GUSB,Carbohydrate
GLB1,Carbohydrate
UBB,Carbohydrate
B3GNT2,Carbohydrate
PFKFB3,Carbohydrate
PGK2,Carbohydrate
HAS2,Carbohydrate
HS6ST2,Carbohydrate
FUT3,Carbohydrate
RBKS,Carbohydrate
GAA,Carbohydrate
CHST11,Carbohydrate
PGAM1,Carbohydrate
DSEL,Carbohydrate
B3GALT1,Carbohydrate
BPGM,Carbohydrate
FUT9,Carbohydrate
FUT10,Carbohydrate
HPSE2,Carbohydrate
HPSE,Carbohydrate
CSPG4,Carbohydrate
PC,Carbohydrate
B4GAT1,Carbohydrate
FUT1,Carbohydrate
CHST2,Carbohydrate
CHST1,Carbohydrate
B3GALT6,Carbohydrate
B3GNT4,Carbohydrate
FUT2,Carbohydrate
TALDO1,Carbohydrate
GPC5,Carbohydrate
B3GNT3,Carbohydrate
FUT7,Carbohydrate
CHST13,Carbohydrate
SGSH,Carbohydrate
CHST15,Carbohydrate
EXT1,Carbohydrate
BGN,Carbohydrate
HS3ST4,Carbohydrate
SLC25A10,Carbohydrate
GPC6,Carbohydrate
CHST6,Carbohydrate
B3GALT5,Carbohydrate
PGP,Carbohydrate
HS6ST3,Carbohydrate
HYAL3,Carbohydrate
RHD,Carbohydrate
CHP1,Carbohydrate
NHLRC1,Carbohydrate
AGRN,Carbohydrate
RHCE,Carbohydrate
PRELP,Carbohydrate
POM121,Carbohydrate
FUT4,Carbohydrate
FUT11,Carbohydrate
SHPK,Carbohydrate
RPE,Carbohydrate
CHSY3,Carbohydrate
CALM1,Carbohydrate
PAPSS2,Carbohydrate
NUP62,Carbohydrate
GPC2,Carbohydrate
HEXA,Carbohydrate
GALT,Carbohydrate
UBA52,Carbohydrate
PRPS1L1,Carbohydrate
RPEL1,Carbohydrate
B3GALT4,Carbohydrate
HS3ST5,Carbohydrate
POM121C,Carbohydrate
PRKAR2B,Energy
ABCC8,Energy
ADIPOR2,Energy
CACNA2D2,Energy
MLXIPL,Energy
GNA15,Energy
ACSL4,Energy
GNB5,Energy
PRKACA,Energy
ACACB,Energy
ADCY2,Energy
GNB1,Energy
RAPGEF3,Energy
GNAS,Energy
GNA11,Energy
RAPGEF4,Energy
ITPR3,Energy
PPP2CB,Energy
PPP2R1A,Energy
STX1A,Energy
PRKAG2,Energy
MLX,Energy
PRKAR1A,Energy
GNB3,Energy
GLP1R,Energy
PPP2R5D,Energy
PPP2CA,Energy
PRKAR2A,Energy
GNAI2,Energy
GNB4,Energy
GCG,Energy
RAP1A,Energy
SLC2A1,Energy
STK11,Energy
ADCY7,Energy
ITPR2,Energy
ACSL3,Energy
FFAR1,Energy
GNG13,Energy
GNG11,Energy
GNGT1,Energy
GNAI1,Energy
ADCY4,Energy
SYT5,Energy
ACLY,Energy
PRKAB2,Energy
SNAP25,Energy
CHRM3,Energy
CD36,Energy
STXBP1,Energy
PPP2R1B,Energy
PLCB2,Energy
ADCY3,Energy
IQGAP1,Energy
CACNA1A,Energy
PRKACB,Energy
PKLR,Energy
PLCB3,Energy
ADRA2A,Energy
ITPR1,Energy
CACNA1C,Energy
CYSLTR2,Energy
PRKCA,Energy
ADCY8,Energy
GNA14,Energy
GNAQ,Energy
CACNA1D,Energy
KCNB1,Energy
PFKFB1,Energy
ADIPOR1,Energy
ADCY9,Energy
GNG3,Energy
PRKAA2,Energy
SLC2A2,Energy
TKT,Energy
ADCY1,Energy
PRKACG,Energy
CACNB2,Energy
KCNC2,Energy
GNGT2,Energy
GNG8,Energy
CACNB3,Energy
GNG4,Energy
AHCYL1,Energy
FASN,Energy
KCNS3,Energy
GNB2,Energy
GNG12,Energy
ADCY5,Energy
GNG5,Energy
ADCY6,Energy
GNG7,Energy
TALDO1,Energy
KCNG2,Energy
AKAP5,Energy
ADIPOQ,Energy
PLCB1,Energy
ADRA2C,Energy
GNG2,Energy
KCNJ11,Energy
PRKAR1B,Energy
CACNA1E,Energy
AGPAT1,Energy
VAMP2,Energy
GNG10,Energy
INS,Energy
MARCKS,Energy
ACACA,Energy
NFYA,Lipid
CYP51A1,Lipid
MTMR7,Lipid
NDUFAB1,Lipid
ACSM3,Lipid
CREBBP,Lipid
TSPOAP1,Lipid
PON1,Lipid
CROT,Lipid
ABCB4,Lipid
GDE1,Lipid
OSBPL7,Lipid
AGK,Lipid
ALDH3B1,Lipid
ARSD,Lipid
PNPLA4,Lipid
MED24,Lipid
STARD3NL,Lipid
ABHD5,Lipid
PIK3C2A,Lipid
MBTPS2,Lipid
NR1H4,Lipid
ELOVL5,Lipid
ALOX5,Lipid
DPEP1,Lipid
AGPS,Lipid
CYP24A1,Lipid
OSBPL5,Lipid
ALAS1,Lipid
NR1H3,Lipid
AGPAT4,Lipid
PNPLA6,Lipid
CYP46A1,Lipid
PI4K2B,Lipid
INPP4A,Lipid
MED17,Lipid
HEXB,Lipid
PIK3CB,Lipid
PLEKHA5,Lipid
MSMO1,Lipid
THRAP3,Lipid
GALC,Lipid
TBXAS1,Lipid
ACAA1,Lipid
ARSF,Lipid
DGAT2,Lipid
SPHK2,Lipid
MED29,Lipid
AHRR,Lipid
MTMR1,Lipid
CTSA,Lipid
FAR2,Lipid
ME1,Lipid
NFYC,Lipid
ELOVL1,Lipid
IDI1,Lipid
PLPP1,Lipid
ACSL4,Lipid
RORA,Lipid
PLA2G10,Lipid
SLC44A1,Lipid
GBA2,Lipid
CHAT,Lipid
CSNK2A2,Lipid
OSBPL3,Lipid
PRKACA,Lipid
ALDH3A2,Lipid
SREBF1,Lipid
ACADVL,Lipid
ABCB11,Lipid
PTGS2,Lipid
MGLL,Lipid
HACD3,Lipid
ACAT1,Lipid
PLD1,Lipid
ACACB,Lipid
ACER3,Lipid
PIK3C3,Lipid
SYNJ2,Lipid
OSBPL6,Lipid
LIPE,Lipid
FDFT1,Lipid
LRP2,Lipid
AACS,Lipid
SMARCD3,Lipid
OXCT1,Lipid
SLC27A5,Lipid
STARD7,Lipid
SLCO1A2,Lipid
NCOA1,Lipid
HADHA,Lipid
AKR1B1,Lipid
CPNE3,Lipid
DDHD2,Lipid
HSD17B2,Lipid
ACOX3,Lipid
MTMR2,Lipid
HSD17B14,Lipid
ACHE,Lipid
PGS1,Lipid
LPCAT2,Lipid
CRLS1,Lipid
SPTLC1,Lipid
CERS4,Lipid
PITPNM2,Lipid
OSBPL8,Lipid
PITPNM3,Lipid
PTGS1,Lipid
CRAT,Lipid
ACOT7,Lipid
SCD,Lipid
HSD3B7,Lipid
TECR,Lipid
MED15,Lipid
GGT5,Lipid
GGT1,Lipid
SLC25A1,Lipid
PLA2G3,Lipid
CYP2D6,Lipid
SBF1,Lipid
CHKB,Lipid
MCAT,Lipid
ARSA,Lipid
TSPO,Lipid
MTMR3,Lipid
PNPLA5,Lipid
